"id_list","star_list","txt_list"
"dalbit(haha****)","1","평점 알바 믿지마세요... ㅁㅊ 10일차에 100만명도 안본거는 다 이유가 있어요 어제 여친이랑 영통메가박스에서 봤는데 헛웃음만 나옴 김래원 빼고 전부 연기 씹오글  "
"helloho(hell****)","1","개연성없고 정치색 심하고 올드하고.. 떡밥 뿌린거 채 거두지도 못하고 영화끝난듯. 그러곤 오락영화라는 양 마지막에 웃기게 끝내면 다 해결되는가..?  "
"박준현(wert****)","1","쌍팔년도 시절도 아니고 배운 것도 없다는 조폭 출신 정치인을 시민들이 뽑았다는거 자체가  한국사람들 기만임 기만 ㅋㅋ  "
"yomi****","1","아놔~~ 혹시나 했는데 역시나...  "
"백주연(maob****)","1","이딴영화 왜 돈내고 시간써가면서 봐주는거임? 자선사업이나 해 그럴거면  "
"우나기(keep****)","2","진짜 한국영화는 너무 뻔하고 흥행만 쫓는다는 느낌을 너무 받는데 재미도 없고~  "
"궤미(jjim****)","2","한국 영화는 OCN에서 할 때 까지 기다리자.  "
"위풍당당율v안락동(fly6****)","2","관람객김래원이라는 배우와 평점보고 봤는데....헐 ㅠ.ㅠ영화 가리지않고 보는 편이지만...자리 지키기 힘든 영화입니다..용감한 관객들은 중간에 나가더라구요...욕도 너무 많이 나오고, 꿀잼일라는데 어느 대목이 꿀잼일까요?별하나도 아깝네요....  "
"dr28****","1","이렇게 알바하지말자. 영화 모든게 심각한 후퇴임  "
"UtopiaN(ehrb****)","1","차라리 야인시대를 보자  "
"대표선수(drle****)","7","음... 해바라기가 더 나은듯...  "
"자동차문의(0183****)","1","왜 관객이 없나 했더니 역시 이유가 있네요혹시나 김래원 믿고 밨는데ㅠㅠ 오랫만에 욕하면서 나온 영화내요 뻥안치고 마동석나올때 피식빼고 웃은적이 없음  "
"kimd****","1","지금 시대가 어느 시대인데 철지난 조폭 미화 영화를 또 만들는지 이해가 안된다. 아무리 웹툰 원작이고 영화라지만 조폭을 대놓고 미화하는게 말이 되냐? 두사부일체 시리즈도 이렇게는 안했다!!!! 그리고 제발 개연성 있게 만들어라 좀!!  "
"파란소파(blue****)","10","관람객범죄도시 감독이라 액션씬 기대했는데 좋네요ㅋㅋ 생각보다 웃겨서 좀 놀람  "
"이카루스(apol****)","7","Not bad... 근데 감독님 많이 여유로워졌나봐 ㅋ  "
"ㅁ(ko71****)","1","어휴. . 진짜 네이버 평점보고 속았다. .역시 평론가평점이 괜히 쓰레기가 아니었네. .해도해도 너무한다 이게 영화냐?한국관객수준이 얼마나 올라갔는데 이리 저급한. .개연성제로에 진부한플롯에 한마디로 최악올해. .영화보다 시계를 몇번봤는지ㅜ  "
"제왑피(jyp4****)","1","전라도를 욕보이는것 같아서 보는 내내 불편했습니다. 지역감정 조장하지 맙시다.  "
"이소희(tyhj****)","9","김래원연기 ㄹㅇ잘하는듯 거기에 진선규 원진아도 기가맥힘  개잼씀  "
"은유(hyun****)","10","나만당할순 없지 . 꼭보세요 너무 재밌어요  "
"조 프레이저(sun2****)","6","김래원이 착해지려는 이유가 어이 없고 여자한테 잘보이기 위해 착해진다며 갑자기 국회의원 선거는 왜 나가는 거냐? 또 국회로 가면 뭘 한다고 공약 건 것도 안 나오고, 그냥 서민을 위해 열심히 하겠다는 뽑아주냐? 그런데도 김래원 연기 보는 맛에 재밌네  "
"inhe****","4","배우들은 여주빼고 연기 잘한다. 근데 스토리가 너무 촌스럽고 연출이 부자연스럽고 유치하고 초반 지루하다. 까메오 나올때 잠깐 피식 하고 끝.  "
